ID,Species
1,Gymnodinium
2,Peridinium
3,Protoperidinium
4,Gonyaulax
5,Ceratium
6,Scrippsiella
7,Laminaria
8,Agarum
9,Costaria costata
10,Nereocystis luetkeana
11,Alaria
12,Desmarestia
13,Cystoseira
14,Colpomenia
15,Bangia
16,Corallina
17,Bossiella
18,Palmaria
19,Microcladia
20,Polysiphonia
21,Odonthalia
22,Chrysophyta
23,Echiura
24,Phoronida
25,Gymnolaemata
26,Ctenodiscus crispatus
27,Crossaster papposus
28,Solaster dawsoni
29,Solaster endeca
30,Pteraster tesselatus
31,Henricia
32,Asterias
33,Evasterias troschelii
34,Pycnopodia helianthoides
35,Ophiuroidea
36,Strongylocentrotus droebachiensis
37,Strongylocentrotus franciscanus
38,Echinarachnius parma
39,Psolus
40,Cucumaria
41,Aspidochirotacea
42,Apodacea
43,Crinoidea
44,Chaetognatha
45,Clavelinidae
46,Aplidium
47,Boltenia
48,Halocynthia
49,Molgulidae
50,Thaliacea
51,Appendicularia
52,Lamna ditropis
53,Prionace glauca
54,Somniosus pacificus
55,Squalus acanthias
56,Raja binoculata
57,Raja rhina
58,Bathyraja aleutica
59,Bathyraja interrupta
60,Bathyraja parmifera
61,Bathyraja trachura
62,Hydrolagus colliei
63,Alosa sapidissima
64,Oncorhynchus gorbuscha
65,Oncorhynchus keta
66,Oncorhynchus kisutch
67,Oncorhynchus nerka
68,Oncorhynchus tshawytscha
69,Salvelinus
70,Hypomesus pretiosus
71,Mallotus villosus
72,Osmerus
73,Thaleichthys pacificus
74,Bathylagus
75,Leuroglossus schmidti
76,Cyclothone
77,Stomiidae
78,Alepisaurus ferox
79,Lampanyctus jordani
80,Stenobrachius leucopsarus
81,Stenobrachius nannochir
82,Tarletonbeania crenularis
83,Protomyctophum
84,Porichthys
85,Boreogadus saida
86,Eleginus gracilis
87,Gadus macrocephalus
88,Microgadus
89,Theragra chalcogramma
90,Merluccius productus
91,Bothrocara
92,Gymnelus
93,Lycodapus
